,index,Majors,Terms in Attendance
0,274,Letters & Sci Undeclared UG,5
1,19,Data Science BA,8
2,303,Electrical Eng & Comp Sci BS,3
3,377,Summer UC Davis Visitor UG,U
4,213,Economics BA,5
5,177,Letters & Sci Undeclared UG,5
6,214,Letters & Sci Undeclared UG,5
7,313,Letters & Sci Undeclared UG,3
8,131,Computer Science BA,7
9,20,"Computer Science BA, Mathematics BA",8
10,385,Summer Internatnl Visitor GR,G
11,25,"Bioengineering BS, Computer Science BA",8
12,76,"Letters & Sci Undeclared UG, Summer Domestic Visitor UG",5
13,382,Letters & Sci Undeclared UG,5
14,317,Letters & Sci Undeclared UG,3
15,218,Data Science BA,5
16,127,Computer Science BA,7
17,173,Applied Mathematics BA,5
18,41,Materials Science & Eng BS,8
19,258,Geography BA,8
20,65,"Cognitive Science BA, MCB-Neurobiology BA",7
21,188,Computer Science BA,5
22,81,"Business Administration BS, Letters & Sci Undeclared UG",7
23,300,Industrial Eng & Ops Rsch BS,3
24,137,Electrical Eng & Comp Sci BS,5
25,247,Economics BA,8
26,369,Summer Internatnl Visitor UG,U
27,376,Summer Internatnl Visitor UG,U
28,290,Letters & Sci Undeclared UG,3
29,233,Eng Math & Statistics BS,5
30,89,Industrial Eng & Ops Rsch BS,7
31,217,Data Science BA,5
32,6,Applied Mathematics BA,7
33,190,Letters & Sci Undeclared UG,5
34,343,Comparative Literature BA,7
35,248,"Astrophysics BA, Physics BA",8
36,151,Statistics BA,7
37,122,Civil Engineering BS,7
38,46,"Data Science BA, Microbial Biology BS",7
39,311,Letters & Sci Undeclared UG,3
40,279,Summer Internatnl Visitor UG,U
41,222,Letters & Sci Undeclared UG,5
42,42,Mechanical Engineering BS,8
43,62,Political Economy BA,7
44,387,Summer UC Santa Cruz Vis UG,U
45,262,Data Science BA,5
46,335,Letters & Sci Undeclared UG,7
47,208,Applied Mathematics BA,5
48,16,Letters & Sci Undeclared UG,7
49,212,"Chemical Engineering BS, Industrial Eng & Ops Rsch BS",5
50,359,Mathematics BA,7
51,1,Summer Domestic Visitor GR,G
52,17,Letters & Sci Undeclared UG,8
53,365,Summer Domestic Visitor UG,U
54,170,Economics BA,5
55,133,Political Economy BA,7
56,56,Letters & Sci Undeclared UG,5
57,392,Summer Internatnl Visitor UG,U
58,272,Letters & Sci Undeclared UG,5
59,52,Ethnic Studies BA,7
60,357,Electrical Eng & Comp Sci BS,7
61,329,Chemical Engineering BS,7
62,75,Economics BA,7
63,189,Applied Mathematics BA,5
64,269,Letters & Sci Undeclared UG,5
65,142,Bioengineering BS,5
66,250,Computer Science BA,8
67,241,Electrical Eng & Comp Sci BS,8
68,144,Letters & Sci Undeclared UG,5
69,354,Electrical Eng & Comp Sci BS,7
70,203,Industrial Eng & Ops Rsch BS,5
71,256,Computer Science BA,8
72,195,Environmental Sciences BS,5
73,370,Summer Internatnl Visitor UG,U
74,58,"Business Administration BS, Letters & Sci Undeclared UG",7
75,288,Applied Mathematics BA,3
76,320,Mechanical Engineering PhD,G
77,383,Letters & Sci Undeclared UG,5
78,50,Industrial Eng & Ops Rsch BS,7
79,229,Economics BA,5
80,21,Electrical Eng & Comp Sci BS,8
